"plot","census","dominant_PFT","acom","bcom","ccom","minDBHcom","maxDBHcom","maxDBHdead","pattern","nb_trees","nb_deaths"
"T0708","2015-2020","EB-tree",-2.50569039790944,0.0687017003734181,-1.00182944806495,1.11408460164327,41.6031021242214,25.49662188,"U-shaped",342,53
"T0709","2015-2020","EB-tree",-3.04221256946766,-0.0512291811462793,-0.290294924099984,0.986760647,41.8895810217869,14.51493081,"Declined",289,35
"T0710","2015-2020","EB-tree",-2.90217797633827,-0.121275088648869,0.336738366772661,1.01859163578813,33.9000028785737,17.98450857,"Unimodal",314,67
"T0711","2015-2020","EB-tree",-3.07762451416471,0.00849754601904552,-0.285448570605574,0.986760647169751,33.4862000265348,29.79380535,"Declined",420,70
"T0712","2015-2020","EB-tree",-3.231656747978,-0.149118292703777,0.401093524837001,0.999493042617103,37.5987637560294,18.39999846,"Unimodal",417,66
"T0713","2015-2020","EB-tree",-2.67538439398859,-0.00893838664469516,-0.703840917045678,0.999493042617103,39.4990737765466,17.70000001,"Declined",455,86
"T0714","2015-2020","EB-tree",-2.33402095916991,-0.0744111200328152,-0.599215906686452,0.999493042617103,41.5012429606426,13.19999904,"Declined",437,89
"T0715","2015-2020","EB-tree",-2.04300685065234,0.114910338274691,-1.4738793168898,0.999493042617103,23.5008188969493,18.99999987,"U-shaped",638,150
"T0716","2015-2020","EB-tree",-2.47496875445691,-0.0132624646054078,-0.805107039861531,0.999493042617103,32.9991859006736,15.1000003,"Declined",574,106
"T0717","2015-2020","EB-tree",-2.47399084420441,0.00581695888201662,-0.814529135003015,0.999493042617103,25.29999868,25.29999868,"Declined",565,100
"T0718","2015-2020","EB-tree",-2.48424031963255,-0.207665046294518,-0.358836417783238,0.999493042617103,24.9013823961579,8.600001012,"Declined",793,118
"T0719","2015-2020","EB-tree",-2.28636250420764,-0.0151223898405029,-0.764516828696676,0.999493042617103,28.8006785019094,15.1000003,"Declined",540,127
"T0720","2015-2020","EB-tree",-2.2363500360318,-0.115314751580671,-0.478598906089264,0.999493042617103,34.698960692895,14.69999936,"Declined",657,149
"T0801","2015-2020","EB-tree",-2.72562790410421,0.00193081886807393,-0.365880549419472,0.999493042617103,40.8009612110383,22.30000122,"Declined",268,54
"T0802","2015-2020","EB-tree",-2.87997350420974,0.126716468970191,-1.55107276990951,1.100000026,37.2008763982996,25.69999962,"U-shaped",196,19
"T0803","2015-2020","EB-tree",-4.13082732895916,-0.0729707906492315,0.506541094760884,0.999493042617103,58.6008500464359,24.29999953,"Unimodal",233,22
"T0804","2015-2020","EB-tree",-4.12277210695394,-0.0751075664863729,0.759266634198268,0.999493042617103,48.8000886508369,23.89999859,"Unimodal",280,35
"T0805","2015-2020","EB-tree",-3.63319620567004,-0.0506934568083956,0.3389511431207,0.986760647169751,52.7121171520357,26.70619945,"Unimodal",180,25
"T0806","2015-2020","EB-tree",-3.66444236831278,-0.126698401954679,0.767113135373528,0.986760647169751,47.7146519389502,19.51239602,"Unimodal",179,27
"T0807","2015-2020","EB-tree",-4.13750605935382,-0.248503082918796,1.69548606916718,0.986760647,45.9002855877026,23.80957949,"Unimodal",262,49
